Animal,Symptoms,Disease
Sheep,"Difficulty breathing, Rapid breathing, Sudden death, Swollen lymph nodes",East Coast Fever
Sheep,"Weakness, Abortion, Infertility, Fever, Reduced fertility, Depression, Stillbirth",Campylobacter Abortion
Buffalo,"Depression, Sudden death, Nasal bleeding, Weakness, Rapid breathing, High fever, Sudden fever, Foamy saliva",Anthrax
Goat,"Reduced fertility, Abortion, Infertility, Fever, Loss of appetite, Weakness, Stillbirth",Campylobacter Abortion
Buffalo,"Lameness, Jaw swelling, Facial swelling",Blue Tongue
Goat,"High fever, Lameness, Depression, Nasal discharge, Difficulty breathing, Rapid breathing, Facial swelling, Jaw swelling",Blue Tongue
Sheep,"Anaemia, Fever, Depression, Lethargy, Weakness, Yellow urine, Pale mucous membranes, Weight loss",Anaplasmosis
Sheep,"Recumbency, Incoordination, Convulsions",Tetanus
Buffalo,"Rapid breathing, Convulsions, Recumbency, Difficulty breathing, Incoordination, Reduced movement, Restlessness, Neurological signs",Tetanus
Cow,"Difficulty breathing, Jaw swelling, Lameness, Facial swelling",Blue Tongue
Sheep,"Lethargy, Yellow urine, Anaemia, Fever, Pale mucous membranes",Anaplasmosis
Sheep,"Hoof lesions, Fever, Blisters on feet, Drooling, Excess salivation, Blisters in mouth",Foot and Mouth Disease
Sheep,"Yellow urine, Anaemia, Fever, Weakness, Pale mucous membranes",Anaplasmosis
Cow,"Difficulty breathing, Diarrhoea, Dehydration, Nasal discharge, High fever, Depression, Cough",Peste des Petits Ruminants
Buffalo,"Facial swelling, High fever, Jaw swelling, Depression, Lameness",Blue Tongue
Sheep,"Weakness, Depression, Abortion, Stillbirth, Fever, Swollen joints, Infertility, Reduced fertility",Brucellosis
Sheep,"Depression, Lethargy, Anaemia, Yellow urine, Pale mucous membranes, Weight loss, Fever",Anaplasmosis
Buffalo,"Stillbirth, Abortion, Infertility, Fever, Reduced fertility",Campylobacter Abortion
Cow,"Rapid breathing, Sudden death, Swollen lymph nodes",East Coast Fever
Cow,"Weight loss, Depression, Diarrhoea, Weakness, Reduced milk yield",Johne’s Disease
Goat,"Anaemia, Lethargy, Dark urine, Depression, High fever, Yellow urine, Pale mucous membranes",Babesiosis
Sheep,"Swollen lymph nodes, Weakness, Pale mucous membranes, Anaemia, Lethargy",Theileriosis
Goat,"Reduced milk yield, Excess salivation, Drooling, Hoof lesions, Lameness, Blisters in mouth, Fever, Blisters on feet",Foot and Mouth Disease
Goat,"Dehydration, Dullness, Weight loss, Diarrhoea, Bloody diarrhoea, Weakness",Coccidiosis
Cow,"Rapid breathing, Depression, Facial swelling, Jaw swelling, Sudden death, Difficulty breathing, High fever",Haemorrhagic Septicaemia
Sheep,"Recumbency, Incoordination, Dullness, Reduced movement, Weakness",Milk Fever
Cow,"Abdominal pain, Bloat, Depression, Sudden death",Enterotoxaemia
Goat,"Lethargy, Diarrhoea, Dehydration",Calf Scour
Goat,"Weakness, Weight loss, Reduced milk yield, Dehydration, Dullness, Diarrhoea",Johne’s Disease
Goat,"Rapid breathing, Nasal bleeding, Sudden fever, High fever, Sudden death, Weakness, Foamy saliva",Anthrax
Goat,"Bloody diarrhoea, Sudden death, Abdominal pain, Diarrhoea, Depression, Bloat, Dehydration, Convulsions",Enterotoxaemia
Cow,"High fever, Sudden death, Loss of appetite, Depression, Diarrhoea, Nasal discharge, Dehydration, Bloody diarrhoea",Rinderpest
Goat,"Anaemia, Pale mucous membranes, Lethargy, Weight loss, High fever, Weakness, Swollen lymph nodes, Depression",Theileriosis
Goat,"Sudden death, Weakness, Nasal discharge, Swollen lymph nodes, Rapid breathing, High fever",East Coast Fever
Sheep,"Reduced milk yield, Lameness, Hoof lesions, Excess salivation, Fever, Drooling, Blisters in mouth, Blisters on feet",Foot and Mouth Disease
Buffalo,"Reduced milk yield, Weight loss, Anaemia",Fascioliasis
Goat,"Recumbency, Eye discharge, Loss of appetite, Fever, Paralysis, Incoordination, Depression",Listeriosis
Sheep,"Reduced milk yield, Weight loss, Loss of appetite, Weakness, Dullness, Dehydration, Diarrhoea",Johne’s Disease
Goat,"Restlessness, Paralysis, Incoordination, Convulsions, Neurological signs, Sudden death",Rabies
Sheep,"Weight loss, Scratching, Hair loss, Itching, Depression, Skin lesions, Loss of appetite",Ringworm
Cow,"Reduced movement, Convulsions, Rapid breathing, Neurological signs, Recumbency, Incoordination",Tetanus
Sheep,"Pale mucous membranes, High fever, Depression, Weakness, Swollen lymph nodes, Anaemia, Weight loss, Lethargy",Theileriosis
Cow,"Depression, Anaemia, Weight loss, Weakness, High fever, Lethargy, Swollen lymph nodes",Theileriosis
Cow,"Convulsions, Restlessness, Neurological signs, Incoordination, Paralysis",Rabies
Cow,"Reduced fertility, Depression, Fever, Stillbirth, Loss of appetite, Abortion",Campylobacter Abortion
Sheep,"Incoordination, Loss of appetite, Paralysis, Eye discharge",Listeriosis
Goat,"Grunting sound, High fever, Chest pain, Swollen joints, Sudden fever, Lameness",Black Quarter
Sheep,"Weight loss, Weakness, Reduced milk yield, Anaemia",Fascioliasis
Cow,"Lameness, Sudden fever, Swollen joints, Recumbency, Reduced movement, Grunting sound, Chest pain",Black Quarter
Goat,"Bloody diarrhoea, Weight loss, Dullness",Coccidiosis
Sheep,"Weakness, Stillbirth, Loss of appetite, Depression, Reduced fertility, Abortion, Infertility",Campylobacter Abortion
Goat,"Neurological signs, Restlessness, Incoordination, Difficulty breathing, Paralysis, Convulsions, Sudden death, Foamy saliva",Rabies
Sheep,"Swollen joints, Depression, Abortion, Stillbirth, Infertility, Fever",Brucellosis
Buffalo,"Incoordination, Neurological signs, Convulsions, Rapid breathing, Recumbency",Tetanus
Cow,"Hair loss, Scratching, Loss of appetite, Depression, Skin lesions, Dullness, Itching",Ringworm
Goat,"Depression, Reduced milk yield, Dehydration, Pale mucous membranes, Weakness, Anaemia, Weight loss, Loss of appetite",Fascioliasis
Buffalo,"Eye discharge, Skin lesions, Swollen lymph nodes, Skin nodules, Nasal discharge, Fever, Depression, Loss of appetite",Sheep and Goat Pox
Goat,"Skin lesions, Itching, Hair loss",Ringworm
Sheep,"Sudden death, Convulsions, Neurological signs, Paralysis",Rabies
Cow,"Swollen joints, Chest pain, High fever, Grunting sound",Black Quarter
Buffalo,"Loss of appetite, Skin lesions, Nasal discharge, Skin nodules, Eye discharge, Swollen lymph nodes",Sheep and Goat Pox
Sheep,"Anaemia, Diarrhoea, Weight loss, Dehydration",Amphistomiasis
Cow,"Weight loss, Swollen lymph nodes, Anaemia, Lethargy",Theileriosis
Goat,"Swollen lymph nodes, Depression, Eye discharge, Nasal discharge, Skin nodules, Skin lesions, Loss of appetite, Fever",Sheep and Goat Pox
Buffalo,"Udder swelling, Abnormal milk, Painful udder, Weakness",Mastitis
Buffalo,"Lameness, Swollen lymph nodes, Reduced milk yield, Eye discharge, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Goat,"Jaw swelling, Depression, Rapid breathing, Facial swelling, Sudden death",Haemorrhagic Septicaemia
Cow,"Scratching, Skin nodules, Weight loss, Itching, Skin lesions, Dullness",Mange
Sheep,"High fever, Lethargy, Anaemia, Weakness, Weight loss, Swollen lymph nodes, Pale mucous membranes",Theileriosis
Goat,"Diarrhoea, Dehydration, Dullness, Weight loss, Depression, Weakness, Anaemia",Amphistomiasis
Cow,"Loss of appetite, Weakness, Abortion, Fever, Stillbirth, Reduced fertility",Campylobacter Abortion
Buffalo,"Weight loss, Yellow urine, Weakness, Pale mucous membranes, Anaemia, Lethargy, Fever",Anaplasmosis
Goat,"Diarrhoea, Weakness, Bloody diarrhoea, Sudden death, Depression, High fever",Salmonellosis
Buffalo,"Reduced milk yield, Weight loss, Anaemia",Fascioliasis
Sheep,"Bloody diarrhoea, Weight loss, Depression, Loss of appetite, Dullness",Coccidiosis
Cow,"Weight loss, Itching, Dullness, Skin nodules, Scratching",Mange
Buffalo,"Dullness, Loss of appetite, Depression, Weight loss, Bloody diarrhoea, Weakness",Coccidiosis
Goat,"Fever, Drooling, Blisters in mouth, Hoof lesions, Excess salivation, Blisters on feet, Lameness, Reduced milk yield",Foot and Mouth Disease
Cow,"Weakness, Depression, Swollen joints, Reduced fertility, Stillbirth, Fever, Abortion, Infertility",Brucellosis
Sheep,"Anaemia, Depression, Pale mucous membranes, Lethargy, Yellow urine",Anaplasmosis
Sheep,"High fever, Diarrhoea, Sudden death, Depression, Bloody diarrhoea",Salmonellosis
Buffalo,"Reduced movement, Recumbency, Incoordination, Dullness, Weakness",Milk Fever
Sheep,"Pale mucous membranes, Lethargy, Dark urine, High fever, Weakness, Yellow urine, Depression",Babesiosis
Goat,"Yellow urine, Pale mucous membranes, Anaemia",Anaplasmosis
Sheep,"Sudden death, High fever, Rapid breathing, Swollen lymph nodes",East Coast Fever
Cow,"Dehydration, Bloody diarrhoea, Depression, High fever, Loss of appetite, Diarrhoea, Nasal discharge, Sudden death",Rinderpest
Sheep,"Loss of appetite, Scratching, Weight loss, Depression, Hair loss, Skin lesions, Dullness, Itching",Ringworm
Cow,"Swollen lymph nodes, Weakness, Depression, High fever, Lethargy, Anaemia",Theileriosis
Cow,"Sudden death, Incoordination, Paralysis, Convulsions, Neurological signs, Difficulty breathing",Rabies
Goat,"Rapid breathing, Nasal bleeding, Foamy saliva, Weakness, Sudden fever, Sudden death, Depression, High fever",Anthrax
Buffalo,"Cracked hooves, Hoof lesions, Lameness, Swollen joints, Loss of appetite",Foot Rot
Cow,"Diarrhoea, Depression, High fever, Nasal discharge, Difficulty breathing, Loss of appetite, Cough, Dehydration",Peste des Petits Ruminants
Sheep,"Difficulty breathing, Convulsions, Recumbency, Restlessness, Neurological signs, Incoordination, Rapid breathing",Tetanus
Cow,"Reduced movement, Loss of appetite, Cracked hooves, Lameness, Recumbency, Hoof lesions, Fever, Swollen joints",Foot Rot
Sheep,"Depression, Nasal discharge, Diarrhoea, High fever, Difficulty breathing, Dehydration, Loss of appetite, Cough",Peste des Petits Ruminants
Cow,"Incoordination, Lethargy, Reduced movement, Loss of appetite, Weakness, Dullness, Recumbency",Milk Fever
Cow,"Abortion, Reduced fertility, Stillbirth, Depression, Infertility",Campylobacter Abortion
Sheep,"Depression, Weight loss, Weakness, Anaemia, Loss of appetite, Dullness, Dehydration, Diarrhoea",Amphistomiasis
Buffalo,"Nasal discharge, Facial swelling, Jaw swelling, Depression, Rapid breathing, Difficulty breathing",Haemorrhagic Septicaemia
Goat,"Dehydration, Depression, Weight loss, Weakness, Dullness, Diarrhoea, Loss of appetite, Reduced milk yield",Johne’s Disease
Goat,"Hoof lesions, Lameness, Cracked hooves",Foot Rot
Buffalo,"Abortion, Infertility, Weakness, Stillbirth",Brucellosis
Cow,"Depression, Cough, Sneezing, Eye discharge, Difficulty breathing",Bovine Rhinotracheitis
Sheep,"Eye discharge, Swollen lymph nodes, Skin nodules, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Pale mucous membranes, Lethargy, Swollen lymph nodes, Anaemia, Depression",Theileriosis
Goat,"Reduced milk yield, Painful udder, Abnormal milk, Udder swelling, Weakness",Mastitis
Cow,"Diarrhoea, Anaemia, Dehydration, Weight loss",Amphistomiasis
Goat,"Depression, Recumbency, Lethargy, Reduced movement, Incoordination",Milk Fever
Goat,"Anaemia, Pale mucous membranes, Weight loss, Swollen lymph nodes, Lethargy",Theileriosis
Buffalo,"Hoof lesions, Loss of appetite, Lameness, Reduced movement, Cracked hooves, Recumbency, Fever",Foot Rot
Goat,"Skin nodules, Reduced milk yield, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Goat,"Recumbency, Swollen joints, Chest pain, Lameness, High fever, Reduced movement, Grunting sound",Black Quarter
Sheep,"Swollen lymph nodes, Eye discharge, Skin nodules, Skin lesions",Sheep and Goat Pox
Sheep,"Jaw swelling, Facial swelling, Sudden death, Rapid breathing, High fever",Haemorrhagic Septicaemia
Cow,"Lameness, Cracked hooves, Loss of appetite, Swollen joints, Recumbency, Reduced movement, Hoof lesions",Foot Rot
Buffalo,"Weight loss, Dullness, Diarrhoea, Dehydration, Anaemia, Depression, Weakness, Loss of appetite",Amphistomiasis
Sheep,"Dehydration, Diarrhoea, Cough, Difficulty breathing",Peste des Petits Ruminants
Sheep,"High fever, Facial swelling, Difficulty breathing, Jaw swelling, Sudden death, Rapid breathing",Haemorrhagic Septicaemia
Cow,"Dehydration, Loss of appetite, Weight loss, Depression, Diarrhoea, Anaemia",Amphistomiasis
Goat,"Swollen lymph nodes, Lethargy, Anaemia, Weight loss, Weakness",Theileriosis
Sheep,"Pale mucous membranes, Weight loss, Lethargy, Weakness, Swollen lymph nodes, Anaemia",Theileriosis
Cow,"Facial swelling, Lameness, Jaw swelling, Depression, Nasal discharge",Blue Tongue
Goat,"Nasal discharge, Difficulty breathing, Rapid breathing, Sudden death, Facial swelling, Depression, Jaw swelling",Haemorrhagic Septicaemia
Goat,"Reduced movement, Incoordination, Dullness, Lethargy, Recumbency, Depression",Milk Fever
Buffalo,"Dehydration, Lethargy, Loss of appetite, Weight loss, Diarrhoea, Depression, Weakness, Fever",Calf Scour
Goat,"Lameness, Cracked hooves, Fever, Hoof lesions",Foot Rot
Buffalo,"Swollen joints, Sudden fever, Reduced movement",Bovine Ephemeral Fever
Sheep,"Reduced movement, Depression, Sudden fever, Dullness, Reduced milk yield, Swollen joints, High fever",Bovine Ephemeral Fever
Goat,"Blisters on feet, Excess salivation, Drooling, Hoof lesions, Blisters in mouth",Foot and Mouth Disease
Sheep,"Diarrhoea, Depression, Sudden death, Abdominal pain, Dehydration, Bloat",Enterotoxaemia
Buffalo,"Convulsions, Incoordination, Neurological signs, Recumbency, Restlessness",Tetanus
Goat,"Dehydration, Cough, Difficulty breathing, Diarrhoea",Peste des Petits Ruminants
Sheep,"Neurological signs, Eye discharge, Recumbency, Depression, Loss of appetite, Paralysis, Fever, Incoordination",Listeriosis
Cow,"Weakness, Diarrhoea, Reduced milk yield, Weight loss",Johne’s Disease
Buffalo,"Difficulty breathing, Sneezing, Rapid breathing, Eye discharge, Nasal discharge, Cough",Bovine Rhinotracheitis
Cow,"Dehydration, Diarrhoea, High fever, Cough",Peste des Petits Ruminants
Buffalo,"Bloody diarrhoea, Sudden death, Dehydration, Weakness, Loss of appetite, Depression, High fever, Diarrhoea",Salmonellosis
Buffalo,"Sudden death, Nasal bleeding, Foamy saliva",Anthrax
Buffalo,"Stillbirth, Depression, Weakness, Infertility, Abortion",Brucellosis
Goat,"Eye discharge, Difficulty breathing, Depression, Sneezing, Cough, Nasal discharge, Fever",Bovine Rhinotracheitis
Sheep,"Pale mucous membranes, Weight loss, Weakness, Depression, Lethargy, Anaemia, Yellow urine",Anaplasmosis
Buffalo,"Facial swelling, Nasal discharge, Difficulty breathing, Jaw swelling, Rapid breathing, Depression, Sudden death, High fever",Haemorrhagic Septicaemia
Sheep,"Dehydration, Lethargy, Fever, Weight loss, Diarrhoea",Calf Scour
Sheep,"Diarrhoea, Dehydration, Weight loss, Fever, Lethargy, Loss of appetite",Calf Scour
Sheep,"Depression, Lethargy, Weight loss, Pale mucous membranes, High fever, Anaemia, Swollen lymph nodes",Theileriosis
Goat,"Loss of appetite, Hair loss, Scratching, Itching, Dullness, Weight loss, Skin lesions, Depression",Ringworm
Goat,"Diarrhoea, Cough, Dehydration",Peste des Petits Ruminants
Goat,"Swollen lymph nodes, High fever, Sudden death, Rapid breathing",East Coast Fever
Goat,"Sneezing, Eye discharge, Difficulty breathing, Depression, Cough",Bovine Rhinotracheitis
Cow,"Skin lesions, Eye discharge, Swollen lymph nodes, Skin nodules",Sheep and Goat Pox
Cow,"Restlessness, Itching, Weight loss, Dullness, Skin nodules, Scratching",Mange
Sheep,"Swollen lymph nodes, Skin lesions, Skin nodules",Sheep and Goat Pox
Sheep,"Sudden death, Restlessness, Difficulty breathing, Convulsions, Paralysis, Incoordination, Foamy saliva, Neurological signs",Rabies
Sheep,"Chest pain, Grunting sound, Swollen joints",Black Quarter
Cow,"Incoordination, Difficulty breathing, Convulsions, Reduced movement, Recumbency",Tetanus
Buffalo,"Sudden death, Diarrhoea, Abdominal pain, Bloat",Enterotoxaemia
Sheep,"Sneezing, Eye discharge, Fever, Cough, Depression, Rapid breathing",Bovine Rhinotracheitis
Buffalo,"Diarrhoea, Weight loss, Dehydration, Loss of appetite, Anaemia",Amphistomiasis
Cow,"Facial swelling, Lameness, Nasal discharge, Jaw swelling, Rapid breathing, High fever",Blue Tongue
Buffalo,"Dullness, Anaemia, Dehydration, Weight loss, Diarrhoea, Loss of appetite",Amphistomiasis
Goat,"Foamy saliva, Nasal bleeding, Sudden death",Anthrax
Goat,"High fever, Weakness, Sudden death, Sudden fever, Foamy saliva, Nasal bleeding, Rapid breathing, Depression",Anthrax
Buffalo,"Sudden death, Swollen lymph nodes, Rapid breathing, Depression, Nasal discharge, High fever, Difficulty breathing, Weakness",East Coast Fever
Sheep,"Skin lesions, Hair loss, Itching",Ringworm
Sheep,"Reduced milk yield, Anaemia, Weight loss",Fascioliasis
Goat,"Weight loss, Dullness, Diarrhoea, Bloody diarrhoea, Loss of appetite, Weakness, Dehydration",Coccidiosis
Sheep,"Skin nodules, High fever, Swollen lymph nodes, Eye discharge, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Stillbirth, Reduced fertility, Abortion",Campylobacter Abortion
Buffalo,"Abnormal milk, Weakness, Reduced milk yield, Painful udder, Loss of appetite, Udder swelling",Mastitis
Sheep,"Dehydration, Loss of appetite, Weakness, Depression, Weight loss, Bloody diarrhoea, Dullness, Diarrhoea",Coccidiosis
Buffalo,"Convulsions, Rapid breathing, Reduced movement, Difficulty breathing, Restlessness, Incoordination, Recumbency, Neurological signs",Tetanus
Sheep,"Reduced milk yield, Swollen lymph nodes, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Sneezing, Cough, Nasal discharge, Eye discharge",Bovine Rhinotracheitis
Cow,"Eye discharge, Paralysis, Incoordination, Neurological signs, Depression",Listeriosis
Cow,"Lameness, Hoof lesions, Cracked hooves",Foot Rot
Cow,"Weakness, Diarrhoea, Loss of appetite, Depression, Reduced milk yield, Dullness, Weight loss, Dehydration",Johne’s Disease
Goat,"Abortion, Reduced fertility, Infertility, Stillbirth",Campylobacter Abortion
Goat,"Skin nodules, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Goat,"Fever, Depression, Diarrhoea, Weakness, Dehydration, Lethargy",Calf Scour
Cow,"Abdominal pain, Dehydration, Depression, Diarrhoea, Sudden death, Bloody diarrhoea, Convulsions, Bloat",Enterotoxaemia
Goat,"Nasal discharge, Skin nodules, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Cow,"Dullness, Loss of appetite, Weight loss, Skin lesions, Scratching, Hair loss, Depression, Itching",Ringworm
Buffalo,"Nasal discharge, Jaw swelling, Rapid breathing, High fever, Facial swelling, Difficulty breathing, Sudden death",Haemorrhagic Septicaemia
Sheep,"High fever, Nasal discharge, Rapid breathing, Lameness, Jaw swelling, Facial swelling, Depression, Difficulty breathing",Blue Tongue
Goat,"Diarrhoea, Loss of appetite, Weakness, Depression, Reduced milk yield, Dehydration, Weight loss",Johne’s Disease
Sheep,"Dehydration, Sudden death, Bloody diarrhoea, Depression",Rinderpest
Cow,"Chest pain, Swollen joints, Lameness, Recumbency, Grunting sound, High fever",Black Quarter
Buffalo,"Reduced movement, High fever, Sudden fever, Lameness, Swollen joints",Bovine Ephemeral Fever
Goat,"Loss of appetite, Nasal discharge, Dehydration, High fever, Diarrhoea, Bloody diarrhoea, Depression, Sudden death",Rinderpest
Goat,"Dehydration, Loss of appetite, Diarrhoea, Depression, Lethargy, Fever, Weight loss, Weakness",Calf Scour
Sheep,"Reduced milk yield, Weight loss, Diarrhoea",Johne’s Disease
Sheep,"Itching, Dullness, Scratching, Skin nodules, Weight loss",Mange
Sheep,"Loss of appetite, Sudden death, Dehydration, High fever, Bloody diarrhoea, Depression",Rinderpest
Cow,"Neurological signs, Convulsions, Paralysis",Rabies
Sheep,"Convulsions, Neurological signs, Recumbency, Incoordination",Tetanus
Goat,"Lameness, Drooling, Reduced milk yield, Blisters on feet, Blisters in mouth, Excess salivation",Foot and Mouth Disease
Buffalo,"Fever, Weakness, Abortion, Infertility, Depression, Stillbirth, Loss of appetite, Reduced fertility",Campylobacter Abortion
Buffalo,"Dullness, Itching, Loss of appetite, Hair loss, Scratching, Weight loss, Skin lesions",Ringworm
Sheep,"Reduced milk yield, Anaemia, Weight loss",Fascioliasis
Buffalo,"Weight loss, Dehydration, Diarrhoea, Loss of appetite, Reduced milk yield, Weakness",Johne’s Disease
Buffalo,"Swollen joints, Sudden fever, Reduced milk yield, Lameness, Reduced movement",Bovine Ephemeral Fever
Buffalo,"Sneezing, Depression, Cough, Eye discharge",Bovine Rhinotracheitis
Goat,"Abnormal milk, Reduced milk yield, Depression, Udder swelling, Painful udder",Mastitis
Cow,"Depression, High fever, Weakness, Sudden death, Rapid breathing, Difficulty breathing, Swollen lymph nodes",East Coast Fever
Sheep,"Nasal discharge, Cough, Diarrhoea, Loss of appetite, Dehydration, Depression",Peste des Petits Ruminants
Buffalo,"Paralysis, Neurological signs, Incoordination, Eye discharge, Recumbency",Listeriosis
Goat,"Sudden fever, Reduced movement, Grunting sound, Swollen joints, Recumbency, Chest pain, High fever",Black Quarter
Sheep,"Dehydration, Anaemia, Diarrhoea, Weight loss",Amphistomiasis
Goat,"Itching, Scratching, Skin lesions, Depression, Loss of appetite, Dullness, Hair loss",Ringworm
Buffalo,"Neurological signs, Loss of appetite, Incoordination, Paralysis, Depression, Eye discharge",Listeriosis
Buffalo,"Lameness, Depression, High fever, Reduced milk yield, Swollen joints, Sudden fever, Dullness, Reduced movement",Bovine Ephemeral Fever
Cow,"Sudden death, Difficulty breathing, Restlessness, Convulsions, Foamy saliva, Paralysis, Neurological signs",Rabies
Cow,"Cracked hooves, Reduced movement, Lameness, Hoof lesions, Recumbency",Foot Rot
Buffalo,"Loss of appetite, Anaemia, Dehydration, Weight loss, Diarrhoea, Depression",Amphistomiasis
Cow,"Rapid breathing, Difficulty breathing, High fever, Depression, Nasal discharge, Jaw swelling, Lameness, Facial swelling",Blue Tongue
Goat,"Itching, Dullness, Scratching, Skin nodules",Mange
Buffalo,"Swollen joints, Reduced movement, Sudden fever, Depression",Bovine Ephemeral Fever
Goat,"Convulsions, Paralysis, Neurological signs, Restlessness, Difficulty breathing",Rabies
Cow,"Nasal discharge, Fever, Sneezing, Cough, Rapid breathing, Eye discharge, Difficulty breathing",Bovine Rhinotracheitis
Goat,"Bloody diarrhoea, Diarrhoea, Depression, Sudden death, Dehydration",Rinderpest
Sheep,"Infertility, Stillbirth, Swollen joints, Abortion, Depression, Weakness, Fever, Reduced fertility",Brucellosis
Sheep,"Itching, Hair loss, Skin lesions, Depression",Ringworm
Cow,"High fever, Rapid breathing, Sudden death, Jaw swelling, Facial swelling, Nasal discharge",Haemorrhagic Septicaemia
Sheep,"Facial swelling, Depression, Jaw swelling, Difficulty breathing, Rapid breathing, Sudden death, Nasal discharge",Haemorrhagic Septicaemia
Goat,"Rapid breathing, Recumbency, Convulsions, Reduced movement, Restlessness, Incoordination",Tetanus
Cow,"Hoof lesions, Lameness, Cracked hooves",Foot Rot
Cow,"Facial swelling, Sudden death, Rapid breathing, Difficulty breathing, Jaw swelling, High fever",Haemorrhagic Septicaemia
Goat,"Drooling, Blisters in mouth, Blisters on feet, Excess salivation",Foot and Mouth Disease
Sheep,"Dehydration, Lethargy, Diarrhoea",Calf Scour
Sheep,"Swollen joints, Grunting sound, Chest pain",Black Quarter
Goat,"Weakness, Weight loss, Lethargy, Diarrhoea, Dehydration",Calf Scour
Goat,"Nasal discharge, Jaw swelling, High fever, Facial swelling, Rapid breathing, Sudden death, Difficulty breathing",Haemorrhagic Septicaemia
Sheep,"Abdominal pain, Dehydration, Bloody diarrhoea, Depression, Convulsions, Sudden death, Diarrhoea, Bloat",Enterotoxaemia
Goat,"Stillbirth, Reduced fertility, Weakness, Infertility, Abortion",Campylobacter Abortion
Sheep,"Sudden death, Foamy saliva, Rapid breathing, Nasal bleeding",Anthrax
Cow,"Itching, Skin nodules, Scratching",Mange
Cow,"Pale mucous membranes, Depression, Lethargy, Anaemia, Weakness, Swollen lymph nodes",Theileriosis
Goat,"Skin nodules, Skin lesions, Loss of appetite, Swollen lymph nodes, Eye discharge",Sheep and Goat Pox
Sheep,"Recumbency, Incoordination, Reduced movement, Convulsions",Tetanus
Sheep,"Depression, Cough, Eye discharge, Sneezing",Bovine Rhinotracheitis
Sheep,"Fever, Lameness, Hoof lesions, Reduced milk yield, Blisters on feet, Blisters in mouth, Drooling, Excess salivation",Foot and Mouth Disease
Goat,"Dehydration, Diarrhoea, Cough",Peste des Petits Ruminants
Buffalo,"Yellow urine, Lethargy, Depression, Weight loss, Pale mucous membranes, Fever, Anaemia, Weakness",Anaplasmosis
Goat,"Eye discharge, Nasal discharge, Depression, Skin nodules, Skin lesions, Fever, Swollen lymph nodes, Loss of appetite",Sheep and Goat Pox
Goat,"Depression, Weakness, Dark urine, Yellow urine, Lethargy, High fever, Pale mucous membranes",Babesiosis
Buffalo,"Nasal bleeding, Sudden death, Foamy saliva, Rapid breathing",Anthrax
Sheep,"Depression, Weakness, Diarrhoea, Dehydration, Loss of appetite, Lethargy, Weight loss",Calf Scour
Buffalo,"Depression, Bloat, Abdominal pain, Sudden death, Dehydration",Enterotoxaemia
Goat,"Dehydration, Anaemia, Dullness, Weight loss, Loss of appetite, Diarrhoea",Amphistomiasis
Cow,"Weakness, Anaemia, Depression, Weight loss, Loss of appetite, Reduced milk yield",Fascioliasis
Sheep,"Anaemia, Weight loss, Yellow urine, Pale mucous membranes, Fever",Anaplasmosis
Buffalo,"Loss of appetite, Lethargy, Dehydration, Weight loss, Fever, Depression, Weakness, Diarrhoea",Calf Scour
Cow,"Difficulty breathing, Loss of appetite, Dehydration, Diarrhoea, Cough",Peste des Petits Ruminants
Sheep,"Lameness, Reduced movement, Fever, Swollen joints, Cracked hooves, Recumbency, Hoof lesions",Foot Rot
Buffalo,"Fever, Loss of appetite, Abortion, Weakness, Reduced fertility, Stillbirth",Campylobacter Abortion
Cow,"Skin lesions, Fever, Nasal discharge, Skin nodules, Swollen lymph nodes",Sheep and Goat Pox
Cow,"Loss of appetite, Stillbirth, Weakness, Reduced fertility, Depression, Abortion, Infertility",Campylobacter Abortion
Goat,"Depression, Loss of appetite, Fever, Incoordination, Eye discharge, Paralysis, Recumbency",Listeriosis
Buffalo,"Loss of appetite, Skin nodules, Skin lesions, Fever, Nasal discharge, Swollen lymph nodes",Sheep and Goat Pox
Sheep,"Chest pain, Reduced movement, Recumbency, Swollen joints, Lameness, Grunting sound",Black Quarter
Cow,"Abortion, Fever, Stillbirth, Reduced fertility, Infertility, Depression, Loss of appetite",Campylobacter Abortion
Sheep,"Facial swelling, Nasal discharge, Difficulty breathing, High fever, Jaw swelling, Depression, Rapid breathing",Haemorrhagic Septicaemia
Cow,"Grunting sound, Chest pain, Lameness, Recumbency, Swollen joints",Black Quarter
Goat,"Dehydration, Nasal discharge, Bloody diarrhoea, Sudden death",Rinderpest
Cow,"Pale mucous membranes, Reduced milk yield, Depression, Anaemia, Weight loss",Fascioliasis
Buffalo,"Dehydration, Abdominal pain, Sudden death, Bloat",Enterotoxaemia
Buffalo,"Reduced movement, Grunting sound, High fever, Swollen joints, Recumbency, Chest pain, Sudden fever",Black Quarter
Sheep,"Reduced fertility, Infertility, Abortion, Stillbirth",Campylobacter Abortion
